prefetch,strategy_block,strategy_loop,strategy_routine,strategy_trace,stores_always,stores_auto,stores_never,level,factor,limit,jump_default,jump_large,jump_never,unroll,matmul,ExecTime
0,0,0,1,0,1,0,0,0,0,512,0,1,0,0.0,1.0,11.0
0,0,0,1,0,1,0,0,0,0,512,0,1,0,1.0,0.0,10.96
0,0,0,1,0,1,0,0,0,0,512,0,1,0,1.0,1.0,11.05
0,0,0,1,0,1,0,0,0,0,2048,0,0,1,0.0,0.0,11.0
0,0,0,1,0,1,0,0,0,0,2048,0,0,1,0.0,1.0,10.91
0,0,0,1,0,1,0,0,0,0,2048,0,0,1,1.0,0.0,10.94
0,0,0,1,0,1,0,0,0,0,2048,0,0,1,1.0,1.0,10.87
0,0,0,1,0,1,0,0,0,0,2048,1,0,0,0.0,0.0,10.73
0,0,0,1,0,1,0,0,0,0,2048,1,0,0,0.0,1.0,10.98
0,0,0,1,0,1,0,0,0,0,2048,1,0,0,1.0,0.0,11.08
0,0,0,1,0,1,0,0,0,0,2048,1,0,0,1.0,1.0,10.91
0,0,0,1,0,1,0,0,0,0,2048,0,1,0,0.0,0.0,10.87
0,0,0,1,0,1,0,0,0,0,2048,0,1,0,0.0,1.0,10.82
0,0,0,1,0,1,0,0,0,0,2048,0,1,0,1.0,0.0,10.82
0,0,0,1,0,1,0,0,0,0,2048,0,1,0,1.0,1.0,10.92
0,0,0,1,0,1,0,0,0,100,8,0,0,1,0.0,0.0,10.75
0,0,0,1,0,1,0,0,0,100,8,0,0,1,0.0,1.0,10.85
0,0,0,1,0,1,0,0,0,100,8,0,0,1,1.0,0.0,10.97
0,0,0,1,0,1,0,0,0,100,8,0,0,1,1.0,1.0,10.85
0,0,0,1,0,1,0,0,0,100,8,1,0,0,0.0,0.0,10.94
0,0,0,1,0,1,0,0,0,100,8,1,0,0,0.0,1.0,10.84
0,0,0,1,0,1,0,0,0,100,8,1,0,0,1.0,0.0,10.78
0,0,0,1,0,1,0,0,0,100,8,1,0,0,1.0,1.0,10.86
0,0,0,1,0,1,0,0,0,100,8,0,1,0,0.0,0.0,10.83
0,0,0,1,0,1,0,0,0,100,8,0,1,0,0.0,1.0,10.81
0,0,0,1,0,1,0,0,0,100,8,0,1,0,1.0,0.0,10.95
0,0,0,1,0,1,0,0,0,100,8,0,1,0,1.0,1.0,10.91
0,0,0,1,0,1,0,0,0,100,32,0,0,1,0.0,0.0,10.88
0,0,0,1,0,1,0,0,0,100,32,0,0,1,0.0,1.0,10.96
0,0,0,1,0,1,0,0,0,100,32,0,0,1,1.0,0.0,11.16
0,0,0,1,0,1,0,0,0,100,32,0,0,1,1.0,1.0,10.97
0,0,0,1,0,1,0,0,0,100,32,1,0,0,0.0,0.0,10.89
0,0,0,1,0,1,0,0,0,100,32,1,0,0,0.0,1.0,10.84
