tiling,unrolling,vectorize,omp,num_omp,ExecTime
4,8,0,1,2,0.177853
5,8,0,1,2,0.183707
7,8,0,1,2,0.179323
8,8,0,1,2,0.0551752
16,8,0,1,2,0.0517651
32,8,0,1,2,0.0515831
64,8,0,1,2,0.0424193
128,8,0,1,2,0.052068
256,8,0,1,2,0.0526954
512,8,0,1,2,0.0734576
1,16,0,1,2,0.0361534
2,16,0,1,2,0.0665422
3,16,0,1,2,0.178565
4,16,0,1,2,0.178441
5,16,0,1,2,0.179979
7,16,0,1,2,0.1794
8,16,0,1,2,0.18046
16,16,0,1,2,0.0471328
32,16,0,1,2,0.0473309
64,16,0,1,2,0.0469434
128,16,0,1,2,0.0474284
256,16,0,1,2,0.0487462
512,16,0,1,2,0.0561885
1,31,0,1,2,0.0425965
2,31,0,1,2,0.0664641
3,31,0,1,2,0.17768
4,31,0,1,2,0.177303
5,31,0,1,2,0.178784
7,31,0,1,2,0.178098
8,31,0,1,2,0.180444
16,31,0,1,2,0.180945
32,31,0,1,2,0.0576542
64,31,0,1,2,0.0578542
128,31,0,1,2,0.0569504
256,31,0,1,2,0.0568717
512,31,0,1,2,0.0791458
1,1,1,1,2,0.0392455
2,1,1,1,2,0.0657848
3,1,1,1,2,0.121996
4,1,1,1,2,0.101103
5,1,1,1,2,0.0950055
7,1,1,1,2,0.0913207
8,1,1,1,2,0.089076
16,1,1,1,2,0.0835786
32,1,1,1,2,0.0801143
64,1,1,1,2,0.08144
128,1,1,1,2,0.0785782
256,1,1,1,2,0.0685375
512,1,1,1,2,0.0756479
1,2,1,1,2,0.0409923
2,2,1,1,2,0.0402688
3,2,1,1,2,0.0709903
4,2,1,1,2,0.0565276
5,2,1,1,2,0.059727
7,2,1,1,2,0.0569065
8,2,1,1,2,0.0547001
16,2,1,1,2,0.0534372
32,2,1,1,2,0.0559606
64,2,1,1,2,0.0531686
128,2,1,1,2,0.0527091
256,2,1,1,2,0.0522423
512,2,1,1,2,0.0798581
1,3,1,1,2,0.037271
2,3,1,1,2,0.0660916
3,3,1,1,2,0.0551796
4,3,1,1,2,0.0629894
5,3,1,1,2,0.062834
7,3,1,1,2,0.0530574
8,3,1,1,2,0.0567916
16,3,1,1,2,0.0535092
32,3,1,1,2,0.0518882
64,3,1,1,2,0.0495566
128,3,1,1,2,0.050186
256,3,1,1,2,0.0496541
512,3,1,1,2,0.071782
1,4,1,1,2,0.0517626
2,4,1,1,2,0.0666136
3,4,1,1,2,0.112675
4,4,1,1,2,0.0697828
5,4,1,1,2,0.0586518
7,4,1,1,2,0.0642583
8,4,1,1,2,0.0701194
16,4,1,1,2,0.0696063
32,4,1,1,2,0.0684744
64,4,1,1,2,0.0691424
128,4,1,1,2,0.0691109
256,4,1,1,2,0.0567464
512,4,1,1,2,0.0979704
1,5,1,1,2,0.0400876
2,5,1,1,2,0.0670353
3,5,1,1,2,0.112997
4,5,1,1,2,0.102498
5,5,1,1,2,0.058877
7,5,1,1,2,0.0647262
8,5,1,1,2,0.0623522
16,5,1,1,2,0.0551326
32,5,1,1,2,0.0553477
64,5,1,1,2,0.0540272
128,5,1,1,2,0.0537954
256,5,1,1,2,0.053451
512,5,1,1,2,0.0791355
1,6,1,1,2,0.040247
2,6,1,1,2,0.0659805
3,6,1,1,2,0.112784
4,6,1,1,2,0.10241
5,6,1,1,2,0.0960452
7,6,1,1,2,0.053067
8,6,1,1,2,0.0570588
16,6,1,1,2,0.0550695
32,6,1,1,2,0.0507157
64,6,1,1,2,0.0496294
128,6,1,1,2,0.0459598
256,6,1,1,2,0.044122
512,6,1,1,2,0.0755891
1,7,1,1,2,0.0375043
2,7,1,1,2,0.0651073
3,7,1,1,2,0.113734
4,7,1,1,2,0.102054
5,7,1,1,2,0.0961801
7,7,1,1,2,0.0498084
8,7,1,1,2,0.0476338
16,7,1,1,2,0.0525698
32,7,1,1,2,0.0498076
64,7,1,1,2,0.0489586
