unroll,malloc,strategy_block,strategy_loop,strategy_routine,strategy_trace,stores_always,stores_auto,stores_never,level,noipo,functions,force,builtin,ExecTime
0,0,1,0,0,0,0,1,0,0,0.0,0.0,0.0,1.0,6.08
0,0,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,6.26
0,0,1,0,0,0,0,1,0,0,0.0,0.0,1.0,1.0,7.51
0,0,1,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,7.64
0,0,1,0,0,0,0,1,0,1,0.0,1.0,0.0,1.0,6.08
0,0,1,0,0,0,0,1,0,1,0.0,1.0,0.0,0.0,6.25
0,0,1,0,0,0,0,1,0,1,0.0,1.0,1.0,1.0,6.05
0,0,1,0,0,0,0,1,0,1,0.0,1.0,1.0,0.0,6.21
0,0,1,0,0,0,0,1,0,1,0.0,0.0,0.0,1.0,6.13
0,0,1,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,6.32
0,0,1,0,0,0,0,1,0,1,0.0,0.0,1.0,1.0,6.07
0,0,1,0,0,0,0,1,0,1,0.0,0.0,1.0,0.0,6.27
0,0,1,0,0,0,0,1,0,2,0.0,1.0,0.0,1.0,6.34
0,0,1,0,0,0,0,1,0,2,0.0,1.0,0.0,0.0,6.24
0,0,1,0,0,0,0,1,0,2,0.0,1.0,1.0,1.0,6.08
0,0,1,0,0,0,0,1,0,2,0.0,1.0,1.0,0.0,6.19
0,0,1,0,0,0,0,1,0,2,0.0,0.0,0.0,1.0,6.05
0,0,1,0,0,0,0,1,0,2,0.0,0.0,0.0,0.0,6.22
0,0,1,0,0,0,0,1,0,2,0.0,0.0,1.0,1.0,6.48
0,0,1,0,0,0,0,1,0,2,0.0,0.0,1.0,0.0,6.23
0,0,0,0,0,1,1,0,0,0,0.0,1.0,0.0,1.0,12.74
0,0,0,0,0,1,1,0,0,0,0.0,1.0,0.0,0.0,12.85
0,0,0,0,0,1,1,0,0,0,0.0,1.0,1.0,1.0,12.56
0,0,0,0,0,1,1,0,0,0,0.0,1.0,1.0,0.0,10.83
0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,1.0,12.39
0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,12.98
0,0,0,0,0,1,1,0,0,0,0.0,0.0,1.0,1.0,12.13
0,0,0,0,0,1,1,0,0,0,0.0,0.0,1.0,0.0,11.06
0,0,0,0,0,1,1,0,0,1,0.0,1.0,0.0,1.0,12.5
0,0,0,0,0,1,1,0,0,1,0.0,1.0,0.0,0.0,13.02
0,0,0,0,0,1,1,0,0,1,0.0,1.0,1.0,1.0,11.44
0,0,0,0,0,1,1,0,0,1,0.0,1.0,1.0,0.0,11.37
0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,1.0,12.57
0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,12.73
0,0,0,0,0,1,1,0,0,1,0.0,0.0,1.0,1.0,11.12
0,0,0,0,0,1,1,0,0,1,0.0,0.0,1.0,0.0,11.88
0,0,0,0,0,1,1,0,0,2,0.0,1.0,0.0,1.0,12.77
0,0,0,0,0,1,1,0,0,2,0.0,1.0,0.0,0.0,13.13
0,0,0,0,0,1,1,0,0,2,0.0,1.0,1.0,1.0,11.21
0,0,0,0,0,1,1,0,0,2,0.0,1.0,1.0,0.0,11.61
0,0,0,0,0,1,1,0,0,2,0.0,0.0,0.0,1.0,12.44
0,0,0,0,0,1,1,0,0,2,0.0,0.0,0.0,0.0,12.86
0,0,0,0,0,1,1,0,0,2,0.0,0.0,1.0,1.0,11.05
0,0,0,0,0,1,1,0,0,2,0.0,0.0,1.0,0.0,11.52
0,0,0,0,0,1,0,0,1,0,0.0,1.0,0.0,1.0,6.14
0,0,0,0,0,1,0,0,1,0,0.0,1.0,0.0,0.0,6.28
0,0,0,0,0,1,0,0,1,0,0.0,1.0,1.0,1.0,7.32
0,0,0,0,0,1,0,0,1,0,0.0,1.0,1.0,0.0,7.56
0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,1.0,6.06
0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,6.26
0,0,0,0,0,1,0,0,1,0,0.0,0.0,1.0,1.0,7.38
0,0,0,0,0,1,0,0,1,0,0.0,0.0,1.0,0.0,7.5
0,0,0,0,0,1,0,0,1,1,0.0,1.0,0.0,1.0,6.09
0,0,0,0,0,1,0,0,1,1,0.0,1.0,0.0,0.0,6.28
0,0,0,0,0,1,0,0,1,1,0.0,1.0,1.0,1.0,6.06
0,0,0,0,0,1,0,0,1,1,0.0,1.0,1.0,0.0,6.27
0,0,0,0,0,1,0,0,1,1,0.0,0.0,0.0,1.0,6.15
0,0,0,0,0,1,0,0,1,1,0.0,0.0,0.0,0.0,6.35
0,0,0,0,0,1,0,0,1,1,0.0,0.0,1.0,1.0,6.11
0,0,0,0,0,1,0,0,1,1,0.0,0.0,1.0,0.0,6.21
0,0,0,0,0,1,0,0,1,2,0.0,1.0,0.0,1.0,6.06
0,0,0,0,0,1,0,0,1,2,0.0,1.0,0.0,0.0,6.25
0,0,0,0,0,1,0,0,1,2,0.0,1.0,1.0,1.0,6.09
0,0,0,0,0,1,0,0,1,2,0.0,1.0,1.0,0.0,6.18
0,0,0,0,0,1,0,0,1,2,0.0,0.0,0.0,1.0,6.05
0,0,0,0,0,1,0,0,1,2,0.0,0.0,0.0,0.0,6.21
0,0,0,0,0,1,0,0,1,2,0.0,0.0,1.0,1.0,6.17
0,0,0,0,0,1,0,0,1,2,0.0,0.0,1.0,0.0,6.23
0,0,0,0,0,1,0,1,0,0,0.0,1.0,0.0,1.0,6.05
0,0,0,0,0,1,0,1,0,0,0.0,1.0,0.0,0.0,6.23
0,0,0,0,0,1,0,1,0,0,0.0,1.0,1.0,1.0,7.33
0,0,0,0,0,1,0,1,0,0,0.0,1.0,1.0,0.0,7.53
0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,1.0,6.13
0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,6.3
0,0,0,0,0,1,0,1,0,0,0.0,0.0,1.0,1.0,7.41
0,0,0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,7.47
0,0,0,0,0,1,0,1,0,1,0.0,1.0,0.0,1.0,6.23
0,0,0,0,0,1,0,1,0,1,0.0,1.0,0.0,0.0,6.32
0,0,0,0,0,1,0,1,0,1,0.0,1.0,1.0,1.0,6.12
0,0,0,0,0,1,0,1,0,1,0.0,1.0,1.0,0.0,6.19
0,0,0,0,0,1,0,1,0,1,0.0,0.0,0.0,1.0,6.11
0,0,0,0,0,1,0,1,0,1,0.0,0.0,0.0,0.0,6.22
0,0,0,0,0,1,0,1,0,1,0.0,0.0,1.0,1.0,6.09
0,0,0,0,0,1,0,1,0,1,0.0,0.0,1.0,0.0,6.13
0,0,0,0,0,1,0,1,0,2,0.0,1.0,0.0,1.0,6.12
0,0,0,0,0,1,0,1,0,2,0.0,1.0,0.0,0.0,6.21
0,0,0,0,0,1,0,1,0,2,0.0,1.0,1.0,1.0,6.12
0,0,0,0,0,1,0,1,0,2,0.0,1.0,1.0,0.0,6.21
0,0,0,0,0,1,0,1,0,2,0.0,0.0,0.0,1.0,6.38
0,0,0,0,0,1,0,1,0,2,0.0,0.0,0.0,0.0,6.24
0,0,0,0,0,1,0,1,0,2,0.0,0.0,1.0,1.0,6.14
0,0,0,0,0,1,0,1,0,2,0.0,0.0,1.0,0.0,6.22
0,0,0,1,0,0,1,0,0,0,0.0,1.0,0.0,1.0,13.62
0,0,0,1,0,0,1,0,0,0,0.0,1.0,0.0,0.0,12.45
0,0,0,1,0,0,1,0,0,0,0.0,1.0,1.0,1.0,11.08
0,0,0,1,0,0,1,0,0,0,0.0,1.0,1.0,0.0,12.0
0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,1.0,12.98
0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,12.48
0,0,0,1,0,0,1,0,0,0,0.0,0.0,1.0,1.0,10.79
0,0,0,1,0,0,1,0,0,0,0.0,0.0,1.0,0.0,11.97
0,0,0,1,0,0,1,0,0,1,0.0,1.0,0.0,1.0,13.59
0,0,0,1,0,0,1,0,0,1,0.0,1.0,0.0,0.0,12.15
0,0,0,1,0,0,1,0,0,1,0.0,1.0,1.0,1.0,11.16
0,0,0,1,0,0,1,0,0,1,0.0,1.0,1.0,0.0,11.49
0,0,0,1,0,0,1,0,0,1,0.0,0.0,0.0,1.0,12.9
