Nodes_16,Input_2000,ScatteringOrder_l0,DRAMPowerPerNode,ProcessorPowerPerNode,Ranks,Nesting_DGZ,Nesting_DZG,Nesting_GDZ,Nesting_GZD,Nesting_ZDG,Nesting_ZGD,Layout_0,Dset,Gset,Method_sweep,OMP,PKG_LIMIT,DRAM_LIMIT,AvgInst,AvgIpc,AvgArithFpu,AvgFreq,AvgTemp,ProcessorPower,DRAMPower,ExecTime,Input_12000,ScatteringOrder_l9,Nodes_64,Energy
1,1,1,32.783925,120.740875,32,1,0,0,0,0,0,1,8,32,1,4,90,0,84799392847,5.8966,613295468.1,2.8007,38.4728,1931.854,524.5428,6.0067,0,0,0,14754.83866
1,1,1,32.5681625,120.6355,32,1,0,0,0,0,0,1,8,32,1,4,95,0,87143068580,5.864,613609261.7,2.8008,38.521,1930.168,521.0906,6.207,0,0,0,15214.96213
1,1,1,32.8351375,120.778775,32,1,0,0,0,0,0,1,8,32,1,4,100,0,84727675474,5.8916,613176382.7,2.8001,37.379,1932.4604,525.3622,6.0074,0,0,0,14765.12349
1,1,1,30.8100125,88.55193125,32,1,0,0,0,0,0,1,16,1,1,4,50,0,91846288837,3.9146,624869361.6,2.1788,33.9149,1416.8309,492.9602,9.815,0,0,0,18744.59965
1,1,1,31.768275,97.48718125,32,1,0,0,0,0,0,1,16,1,1,4,55,0,84047112877,4.3695,621517326.3,2.3677,32.748,1559.7949,508.2924,8.2173,0,0,0,16994.09377
1,1,1,31.718825,105.32505,32,1,0,0,0,0,0,1,16,1,1,4,60,0,85396620450,4.681,621813531.1,2.5783,35.0537,1685.2008,507.5012,7.6096,0,0,0,16685.58514
1,1,1,32.29140625,114.9712813,32,1,0,0,0,0,0,1,16,1,1,4,65,0,82306096673,5.0486,620661172.3,2.718,35.5812,1839.5405,516.6625,6.808,0,0,0,16041.03002
1,1,1,32.33531875,117.41155,32,1,0,0,0,0,0,1,16,1,1,4,70,0,80251756042,5.0726,619964106,2.7834,35.9113,1878.5848,517.3651,6.6076,0,0,0,15831.47856
1,1,1,32.40231875,119.0748625,32,1,0,0,0,0,0,1,16,1,1,4,75,0,79380820773,5.1746,619706639.9,2.7971,37.6562,1905.1978,518.4371,6.4074,0,0,0,15529.19826
1,1,1,32.522675,119.2740625,32,1,0,0,0,0,0,1,16,1,1,4,80,0,80126815578,5.2132,619913231.3,2.801,37.2069,1908.385,520.3628,6.4074,0,0,0,15561.95865
1,1,1,32.56403125,119.42465,32,1,0,0,0,0,0,1,16,1,1,4,85,0,79744171254,5.1983,619906162.4,2.8004,37.071,1910.7944,521.0245,6.4075,0,0,0,15581.8796
1,1,1,32.43733125,118.9113313,32,1,0,0,0,0,0,1,16,1,1,4,90,0,79988114079,5.2142,619789385.9,2.8008,38.2334,1902.5813,518.9973,6.4074,0,0,0,15516.02272
1,1,1,32.3478625,119.4609563,32,1,0,0,0,0,0,1,16,1,1,4,95,0,79582035370,5.1877,619386500.2,2.8015,38.465,1911.3753,517.5658,6.4074,0,0,0,15563.1972
1,1,1,32.38798125,118.9999125,32,1,0,0,0,0,0,1,16,1,1,4,100,0,79381096973,5.1746,619527445.9,2.8003,37.4598,1903.9986,518.2077,6.4075,0,0,0,15520.28687
1,1,1,31.35405,88.0693875,32,1,0,0,0,0,0,1,16,2,1,4,50,0,81992437412,4.0617,618309076.9,2.1088,33.6748,1409.1102,501.6648,8.4359,0,0,0,16119.10682
1,1,1,32.20534375,97.25675625,32,1,0,0,0,0,0,1,16,2,1,4,55,0,78408848679,4.5263,616762020.6,2.3259,32.4114,1556.1081,515.2855,7.218,0,0,0,14951.319
1,1,1,32.24031875,104.8960563,32,1,0,0,0,0,0,1,16,2,1,4,60,0,80261210406,4.9141,616894196.8,2.5331,34.8719,1678.3369,515.8451,6.8282,0,0,0,14982.31353
1,1,1,33.0177625,114.8477,32,1,0,0,0,0,0,1,16,2,1,4,65,0,72745985292,5.232,614985338.1,2.7353,35.2938,1837.5632,528.2842,5.8068,0,0,0,13738.00268
1,1,1,33.251275,118.6028875,32,1,0,0,0,0,0,1,16,2,1,4,70,0,73024299223,5.4402,614929210.9,2.7837,35.9192,1897.6462,532.0204,5.6066,0,0,0,13622.16876
1,1,1,33.080675,119.5492688,32,1,0,0,0,0,0,1,16,2,1,4,75,0,73417261391,5.4695,614832089.7,2.7973,37.5959,1912.7883,529.2908,5.6065,0,0,0,13691.51647
1,1,1,33.20969375,119.9398875,32,1,0,0,0,0,0,1,16,2,1,4,80,0,74048401909,5.5166,615100178.4,2.8003,37.0959,1919.0382,531.3551,5.6063,0,0,0,13737.63996
