gratio,rhorx,rhory,rhohx,rhohy,rhoratio,sgrain,ortho,ExecTime
1.28,8,16,70,10,1,64,16,1.68316
1.28,8,16,70,10,1,64,32,1.68803
1.28,8,16,70,10,1,128,16,2.70807
1.28,8,16,70,10,1,128,32,2.22422
1.28,8,16,70,10,2,32,16,1.44564
1.28,8,16,70,10,2,32,32,1.46893
1.28,8,16,70,10,2,64,16,1.63219
1.28,8,16,70,10,2,64,32,1.60613
1.28,8,16,70,10,2,128,16,2.65022
1.28,8,16,70,10,2,128,32,2.16789
1.28,8,16,70,20,0.5,32,16,1.6408
1.28,8,16,70,20,0.5,32,32,1.67871
1.28,8,16,70,20,0.5,64,16,1.83373
1.28,8,16,70,20,0.5,64,32,1.83935
1.28,8,16,70,20,0.5,128,16,2.81575
1.28,8,16,70,20,0.5,128,32,2.35728
1.28,8,16,70,20,1,32,16,1.57574
1.28,8,16,70,20,1,32,32,1.63273
1.28,8,16,70,20,1,64,16,1.75583
1.28,8,16,70,20,1,64,32,1.76636
1.28,8,16,70,20,1,128,16,2.7825
1.28,8,16,70,20,1,128,32,2.33527
1.28,8,16,70,20,2,32,16,1.53956
1.28,8,16,70,20,2,32,32,1.58553
1.28,8,16,70,20,2,64,16,1.7378
1.28,8,16,70,20,2,64,32,1.70501
1.28,8,16,70,20,2,128,16,2.78182
1.28,8,16,70,20,2,128,32,2.27793
1.28,8,16,70,35,0.5,32,16,2.25163
1.28,8,16,70,35,0.5,32,32,2.32707
1.28,8,16,70,35,0.5,64,16,2.51255
1.28,8,16,70,35,0.5,64,32,2.30371
1.28,8,16,70,35,0.5,128,16,3.34084
1.28,8,16,70,35,0.5,128,32,2.92534
1.28,8,16,70,35,1,32,16,2.25361
1.28,8,16,70,35,1,32,32,2.3848
1.28,8,16,70,35,1,64,16,2.51683
1.28,8,16,70,35,1,64,32,2.50276
1.28,8,16,70,35,1,128,16,3.52667
1.28,8,16,70,35,1,128,32,3.05344
1.28,8,16,70,35,2,32,16,2.28494
1.28,8,16,70,35,2,32,32,2.34239
1.28,8,16,70,35,2,64,16,2.51148
1.28,8,16,70,35,2,64,32,2.45878
1.28,8,16,70,35,2,128,16,3.48708
1.28,8,16,70,35,2,128,32,3.04336
1.28,8,16,70,70,0.5,32,16,2.42223
1.28,8,16,70,70,0.5,32,32,2.40286
1.28,8,16,70,70,0.5,64,16,2.53483
1.28,8,16,70,70,0.5,64,32,2.52304
1.28,8,16,70,70,0.5,128,16,3.57159
1.28,8,16,70,70,0.5,128,32,3.06931
1.28,8,16,70,70,1,32,16,2.87694
1.28,8,16,70,70,1,32,32,2.9803
1.28,8,16,70,70,1,64,16,3.07617
1.28,8,16,70,70,1,64,32,3.05256
1.28,8,16,70,70,1,128,16,4.05271
1.28,8,16,70,70,1,128,32,3.59688
1.28,8,16,70,70,2,32,16,2.94265
1.28,8,16,70,70,2,32,32,2.92779
1.28,8,16,70,70,2,64,16,3.10037
1.28,8,16,70,70,2,64,32,3.09167
1.28,8,16,70,70,2,128,16,4.10125
1.28,8,16,70,70,2,128,32,3.61978
1.28,8,28,10,10,0.5,32,16,1.56699
1.28,8,28,10,10,0.5,32,32,1.59253
1.28,8,28,10,10,0.5,64,16,1.7323
1.28,8,28,10,10,0.5,64,32,1.71836
1.28,8,28,10,10,0.5,128,16,2.74976
1.28,8,28,10,10,0.5,128,32,2.2542
1.28,8,28,10,10,1,32,16,1.44806
1.28,8,28,10,10,1,32,32,1.45363
1.28,8,28,10,10,1,64,16,1.61205
