busy_spin,hepnos_num_event_databases,hepnos_num_product_databases,hepnos_num_providers,hepnos_num_rpc_threads,hepnos_pes_per_node,hepnos_pool_type,hepnos_progress_thread,loader_batch_size,loader_pes_per_node,loader_progress_thread,scale,enable_pep,more_params,objective,elapsed_sec
True,15,6,22,52,2,fifo_wait,False,1814,16,True,4,False,False,2.3672467580442476,318.8244700431824
False,11,10,30,63,2,fifo,False,1907,16,True,4,False,False,2.442780706511956,322.7889266014099
False,9,13,2,32,8,fifo,True,910,16,False,4,False,False,2.4887835413777406,326.8270597457886
True,3,5,11,55,4,fifo_wait,False,1893,16,True,4,False,False,2.3746622156781383,331.27162170410156
False,14,10,25,56,2,fifo_wait,False,1910,16,True,4,False,False,2.396781235314841,335.2886607646942
True,14,5,11,60,8,fifo_wait,True,1371,16,True,4,False,False,2.393757830945941,339.5517554283142
False,14,9,31,32,2,fifo_wait,False,1964,16,False,4,False,False,2.4249511481572004,343.98082447052
False,6,13,9,49,8,fifo_wait,True,750,16,True,4,False,False,2.473838998624191,348.27043104171753
True,8,5,1,26,8,fifo_wait,False,1219,16,False,4,False,False,2.3893426019426665,353.18352794647217
True,5,13,26,57,4,fifo_wait,True,701,16,True,4,False,False,2.444997574468903,358.20332765579224
False,11,9,10,43,2,fifo_wait,True,1990,16,True,4,False,False,2.370591176865748,362.8396365642547
True,4,12,4,31,2,fifo,True,1623,16,False,4,False,False,2.3880758856219257,367.49247336387634
True,1,10,4,38,2,fifo_wait,False,1092,16,True,4,False,False,2.3897076359364924,372.3726649284363
True,15,3,32,21,8,fifo_wait,False,1152,16,False,4,False,False,2.4892836000206,376.7699718475342
True,15,13,31,59,8,fifo_wait,True,1998,16,True,4,False,False,2.479675676743366,381.3770728111267
False,2,14,16,45,2,fifo,False,1285,16,True,4,False,False,2.423760835501751,386.9034399986267
False,10,15,5,52,4,fifo_wait,False,1631,16,True,4,False,False,2.435907621040873,391.9563889503479
False,8,11,1,19,8,fifo_wait,False,1989,16,False,4,False,False,2.481970325419493,396.6866340637207
