Nodes_16,Input_12000,ScatteringOrder_l0,DRAMPowerPerNode,ProcessorPowerPerNode,Ranks,Nesting_DGZ,Nesting_DZG,Nesting_GDZ,Nesting_GZD,Nesting_ZDG,Nesting_ZGD,Layout_0,Dset,Gset,Method_sweep,OMP,PKG_LIMIT,DRAM_LIMIT,AvgInst,AvgIpc,AvgArithFpu,AvgFreq,AvgTemp,ProcessorPower,DRAMPower,ExecTime,Input_2000,ScatteringOrder_l9,Nodes_64
1.0,1.0,1.0,32.84573125,108.7607875,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,8,1.0,4,60,0,1.37477756817e+12,6.9364,721575466.312,2.6712,35.5475,1740.1726,525.5317,82.9046,0.0,0.0,0.0
1.0,1.0,1.0,33.47086875,115.2995,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,8,1.0,4,65,0,1.33698985642e+12,7.3774,703713304.812,2.7621,36.0852,1844.792,535.5339,75.6957,0.0,0.0,0.0
1.0,1.0,1.0,33.50960625,117.80889375,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,8,1.0,4,70,0,1.32707525261e+12,7.5,697345492.938,2.7935,37.6231,1884.9423,536.1537,73.8936,0.0,0.0,0.0
1.0,1.0,1.0,33.54165625,118.20685,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,8,1.0,4,75,0,1.32784580632e+12,7.4904,697654625.688,2.8005,37.6966,1891.3096,536.6665,74.0939,0.0,0.0,0.0
1.0,1.0,1.0,33.42214375,118.447725,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,8,1.0,4,80,0,1.33647836341e+12,7.4309,703863344.688,2.8023,38.2056,1895.1636,534.7543,75.0943,0.0,0.0,0.0
1.0,1.0,1.0,33.42100625,118.34775625,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,8,1.0,4,85,0,1.33643887829e+12,7.4509,703343952.562,2.8024,38.2863,1893.5641,534.7361,74.9174,0.0,0.0,0.0
1.0,1.0,1.0,33.5229125,118.51311875,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,8,1.0,4,90,0,1.32810360139e+12,7.5057,698264656.625,2.8031,38.6871,1896.2099,536.3666,73.9088,0.0,0.0,0.0
1.0,1.0,1.0,33.39165625,118.61436875,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,8,1.0,4,95,0,1.33833312428e+12,7.4415,704359871.125,2.8012,39.1267,1897.8299,534.2665,75.094,0.0,0.0,0.0
1.0,1.0,1.0,33.54326875,118.25721875,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,8,1.0,4,100,0,1.3314659813e+12,7.5261,699284067.625,2.8033,38.5252,1892.1155,536.6923,73.8946,0.0,0.0,0.0
1.0,1.0,1.0,29.08288125,101.41029375,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,16,1.0,4,55,0,1.4029490942e+12,6.9475,712748248.5,2.5266,35.0103,1622.5647,465.3261,84.3298,0.0,0.0,0.0
